X,Y,DataZone,OBJECTID,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing,SIMD2020v2_Rank,deciles
-4.73382269033424,55.7091617314699,S01011304,"4799",Dalry West - 02,"708","708","282","228335","649579",636,"1"
-4.8635517476293,55.7963813379563,S01011325,"4820",Largs Central and Cumbrae - 04,"737","737","472","220588","659611",693,"1"
-4.68999167591564,55.752178773935,S01011343,"4838",Kilbirnie South and Longbar - 01,"826","826","434","231274","654257",680,"1"
-3.92882310680845,55.7620697594627,S01011361,"4856",Overtown - 05,"537","537","343","279068","653765",53,"1"
-3.96746368806242,55.7738317822302,S01011372,"4867",Muirhouse - 05,"667","667","411","276681","655142",132,"1"
-3.96704173992705,55.7781072906188,S01011373,"4868",Muirhouse and Knowetop - 01,"674","674","350","276721","655617",489,"1"
-3.95214470038686,55.7796390218512,S01011383,"4878",Craigneuk Wishaw - 02,"686","686","394","277660","655761",49,"1"
-3.94610557928352,55.7803729007712,S01011384,"4879",Craigneuk Wishaw - 03,"734","734","328","278041","655832",55,"1"
-3.93596464794975,55.7784751503244,S01011385,"4880",Craigneuk Wishaw - 04,"957","957","441","278671","655603",273,"1"
-3.94067878641181,55.7773942486606,S01011386,"4881",Craigneuk Wishaw - 05,"648","588","208","278372","655491",212,"1"
-3.94751974844875,55.7777173556215,S01011387,"4882",Craigneuk Wishaw - 06,"834","810","366","277944","655539",153,"1"
-3.90789564449206,55.7718596741636,S01011398,"4893",Wishaw South - 06,"779","775","322","280411","654818",260,"1"
-3.90746201657706,55.7884289882454,S01011409,"4904",Coltness - 02,"839","839","362","280489","656661",471,"1"
-3.88861430686765,55.7908320228431,S01011420,"4915",Newmains - 04,"491","491","250","281678","656896",157,"1"
-3.87441901261865,55.7868616236718,S01011423,"4918",Newmains - 07,"570","570","221","282556","656430",295,"1"
-3.77403005953402,55.8115909293165,S01011438,"4933",Stane - 04,"544","544","241","288921","659016",424,"1"
-3.9689290568935,55.8092257159908,S01011465,"4960",Carfin and Cleekhimin - 02,"547","547","223","276701","659083",386,"1"
-3.98136002832961,55.7937931423753,S01011472,"4967",Motherwell South - 02,"880","880","535","275873","657388",263,"1"
-3.99079429102318,55.7860915568086,S01011473,"4968",Motherwell South - 03,"666","662","431","275257","656548",192,"1"
-3.98924452622826,55.7841574761362,S01011474,"4969",Motherwell South - 04,"798","798","481","275348","656330",673,"1"
-3.99144207314131,55.7837803742959,S01011475,"4970",Motherwell South - 05,"605","605","391","275209","656292",104,"1"
-4.00714658077789,55.7939589064547,S01011485,"4980",Motherwell West - 05,"965","965","371","274257","657453",643,"1"
-4.01153646199013,55.79650237999,S01011486,"4981",Motherwell North - 01,"569","562","235","273990","657744",397,"1"
-4.00783659136972,55.7977671544591,S01011488,"4983",Motherwell North - 03,"697","697","284","274226","657878",205,"1"
-4.00321359786179,55.8028123975004,S01011491,"4986",Forgewood - 02,"514","514","262","274532","658431",450,"1"
-3.99964835401303,55.8036073813321,S01011492,"4987",Forgewood - 03,"760","760","395","274758","658513",147,"1"
-4.00213841799257,55.8064246701898,S01011496,"4991",Forgewood - 07,"649","649","308","274611","658831",387,"1"
-3.97072598814174,55.8176265245362,S01011501,"4996",Holytown - 05,"673","673","325","276615","660021",209,"1"
-4.02056853328723,55.8122699768988,S01011512,"5007",Orbiston - 01,"951","951","482","273475","659515",146,"1"
-4.01619102667496,55.8094032004734,S01011513,"5008",Orbiston - 02,"774","774","358","273740","659188",329,"1"
-4.02967595841238,55.814618198372,S01011520,"5015",Bellshill South - 02,"596","596","273","272912","659793",634,"1"
-4.02183351480967,55.8258911227501,S01011529,"5024",Bellshill Central - 02,"529","529","291","273440","661033",321,"1"
-4.05311665543551,55.8223978104158,S01011533,"5028",Fallside - 02,"683","626","315","271469","660702",297,"1"
-4.06339049673729,55.8261889553659,S01011535,"5030",Fallside - 04,"940","862","467","270838","661143",237,"1"
-4.06041439944711,55.8272723697399,S01011539,"5034",Viewpark - 01,"738","738","312","271028","661258",671,"1"
-4.06111161056851,55.8344142382261,S01011543,"5038",Viewpark - 05,"810","810","325","271008","662054",517,"1"
-4.0517182813991,55.8479799028413,S01011559,"5054",Kirkwood and Bargeddie - 07,"620","620","246","271641","663546",402,"1"
-4.04613799094655,55.8503106863421,S01011562,"5057",Kirkshaws - 01,"647","647","270","271998","663795",581,"1"
-4.03278600788571,55.8445647964528,S01011566,"5061",Kirkshaws - 05,"917","917","374","272815","663131",466,"1"
-4.01983513582736,55.8520129291242,S01011571,"5066",Dundyvan - 03,"649","649","389","273650","663936",200,"1"
-4.04938407282906,55.8534021386894,S01011576,"5071",Dundyvan - 08,"897","779","374","271805","664145",201,"1"
-4.03699511690461,55.8590631722557,S01011581,"5076",Coatbridge West - 02,"802","789","463","272599","664752",98,"1"
-4.04616152947506,55.8668556547149,S01011586,"5081",Townhead - 02,"578","556","239","272051","665636",640,"1"
-4.05405968380739,55.8768972653632,S01011591,"5086",Townhead - 07,"597","597","268","271590","666768",298,"1"
-4.02696081670816,55.8685755345661,S01011592,"5087",Sunnyside and Cliftonville - 01,"705","705","353","273258","665792",696,"1"
-4.02090173917699,55.86208781195,S01011598,"5093",Cliftonville - 01,"785","785","544","273616","665059",3,"1"
-4.02043996236137,55.8476622605464,S01011603,"5098",Shawhead and Whifflet - 02,"791","791","443","273598","663453",426,"1"
-4.00489514817023,55.8547558948039,S01011609,"5104",Greenend and Carnbroe - 04,"970","970","479","274594","664214",36,"1"
-4.00146458759277,55.8545332004703,S01011610,"5105",Greenend and Carnbroe - 05,"833","833","362","274808","664183",405,"1"
-3.95673858075756,55.8613908084848,S01011631,"5126",Petersburn - 02,"628","628","245","277629","664866",362,"1"
-3.95262704034712,55.8619324371849,S01011632,"5127",Petersburn - 03,"754","754","315","277888","664919",648,"1"
-3.96905182515221,55.8606191786847,S01011636,"5131",Gartlea - 01,"720","720","283","276856","664802",622,"1"
-3.98899978949551,55.8685391670407,S01011655,"5150",Thrashbush - 01,"846","846","471","275633","665719",317,"1"
