"lsoa11","rgn"
"E01009429","E12000005"
"E01029488","E12000005"
"E01009416","E12000005"
"E01009420","E12000005"
"E01009426","E12000005"
"E01009444","E12000005"
"E01009447","E12000005"
"E01009432","E12000005"
"E01009446","E12000005"
"E01009450","E12000005"
"E01009448","E12000005"
"E01009454","E12000005"
"E01009445","E12000005"
"E01009452","E12000005"
"E01009441","E12000005"
"E01009443","E12000005"
"E01009442","E12000005"
"E01009438","E12000005"
"E01009440","E12000005"
"E01009435","E12000005"
"E01009436","E12000005"
"E01009439","E12000005"
"E01009455","E12000005"
"E01009434","E12000005"
"E01029838","E12000005"
"E01029832","E12000005"
"E01029833","E12000005"
"E01029864","E12000005"
"E01029826","E12000005"
"E01029827","E12000005"
"E01029863","E12000005"
"E01029862","E12000005"
"E01029860","E12000005"
"E01029861","E12000005"
"E01031031","E12000005"
"E01029831","E12000005"
"E01029830","E12000005"
"E01029840","E12000005"
"E01029845","E12000005"
"E01029841","E12000005"
"E01029843","E12000005"
"E01029842","E12000005"
"E01029828","E12000005"
"E01029829","E12000005"
"E01029865","E12000005"
"E01032902","E12000005"
"E01029825","E12000005"
"E01029821","E12000005"
"E01029822","E12000005"
"E01029834","E12000005"
"E01029823","E12000005"
"E01029824","E12000005"
"E01029844","E12000005"
"E01029859","E12000005"
"E01029820","E12000005"
"E01029858","E12000005"
"E01029856","E12000005"
"E01029857","E12000005"
"E01029855","E12000005"
"E01029867","E12000005"
"E01032901","E12000005"
"E01029869","E12000005"
"E01029868","E12000005"
"E01031025","E12000005"
"E01029835","E12000005"
"E01031040","E12000005"
"E01031035","E12000005"
"E01031039","E12000005"
"E01031038","E12000005"
"E01031016","E12000005"
"E01031037","E12000005"
"E01031026","E12000005"
"E01031033","E12000005"
"E01031034","E12000005"
"E01029517","E12000005"
